Group,Name,Language,SourceID,Level1 Id,Level2 Id,Level3 Id,Level4 Id,Analyzed [y/n],Text,ref Code,KW Ids,Keywords,Judicial Topic Ids,Juditial Topics,Index Ids,Index Terms,,Refference,
,,Hebrew,3,33,8,10,,n,"הכותב דייתיקי יכול לחזור בו, מתנה, אין יכול לחזו' בו. אי זו היא דיותיקי, דא תהא לי לעמוד ולהיות, אם מתי, יינתנו נכסיי לפלני. אי זו היא מתנה, מן היום יינתנו נכסיו לפלני.",000300330008001000000000,NULL,NULL,NULL,NULL,NULL,NULL,Tosefta Bava Batra 8:10,000300330008001000000000,
,,Hebrew,3,33,8,11,,n,"הכותב דיותיקי עד שלא זכה, בין הוא ובין אחר, יכול לחזור בו. משזכה, בין הוא ובין אחר, אין יכול לחזור בו.",000300330008001100000000,NULL,NULL,NULL,NULL,NULL,NULL,Tosefta Bava Batra 8:11,000300330008001100000000,
,,Hebrew,3,33,8,12,,n,"אפטרופסין עד שלא החזיקו בנכסי יתומין יכולין לחזור בהן, משהחזיקו בנכסי יתומין, אין יכול לחזור בהן.",000300330008001200000000,NULL,NULL,NULL,NULL,NULL,NULL,Tosefta Bava Batra 8:12,000300330008001200000000,
,,Hebrew,3,33,8,13,,n,"אפטרופוס שמינהו אבי יתומין ישבע, שמינוהו בית דין, לא ישבע. אבא שאול או' אף שמינוהו בית דין ישבע, מפני שהוא כנושא שכר.",000300330008001300000000,NULL,NULL,NULL,NULL,NULL,NULL,Tosefta Bava Batra 8:13,000300330008001300000000,
,,Hebrew,3,33,8,14,,n,"אפטרופין תורמין ומעשרין מנכסי יתומין, מוכרין בתים, שדות, וכרמים, בהמה, עבדים, ושפחות, להאכיל יתומים, לעשות להם סוכה, לולב, וציצית, וכל מצות האמורות בתורה, ולקנות להם ספר תורה, ונביאים, דבר הקצוב מן התורה. אינן רשאין להוציא עבדים בני חורין, אבל מוכרין אותן לאחרים, ואחרים מוציאין אותן בני חורין. ור' או' אומ' אני בשנותן דמיו ופודה את עצמו.",000300330008001400000000,NULL,NULL,NULL,NULL,NULL,NULL,Tosefta Bava Batra 8:14,000300330008001400000000,
,,Hebrew,3,33,8,15,,n,"אין מוכרין ברחוק ליקח בקרוב, ברע, ליקח ביפה. אין דנין לחוב, ולזכות, ולהוציא ליתומים, אלא אם כן נטלו רשות מבית דין. וצריכין אפטרופין לחשב עם היתומין באחרונה דברי ר'. רבן שמעון בן גמליאל או' אין ליתומין אלא מה שהניחו להן אפטרופין.",000300330008001500000000,NULL,NULL,NULL,NULL,NULL,NULL,Tosefta Bava Batra 8:15,000300330008001500000000,
,,Hebrew,3,33,8,16,,n,"מוכרין עבדים ליקח בהן קרקעות, אבל לא קרקעות ליקח בהן עבדים. רבן שמעון בן גמליאל או' אף לא עבדים ליקח בהן קרקעות.",000300330008001600000000,NULL,NULL,NULL,NULL,NULL,NULL,Tosefta Bava Batra 8:16,000300330008001600000000,
,,Hebrew,3,33,8,17,,n,"אין בית דין עושין אפטרופין נשים, ועבדים, לכתחלה, ואם מינה אותן אביהן בחייו, עושין אפטרופוס.",000300330008001700000000,NULL,NULL,NULL,NULL,NULL,NULL,Tosefta Bava Batra 8:17,000300330008001700000000,
,,Hebrew,3,33,8,18,,n,"כתב בשטר מעות וכלים יש לי ביד פל', רשאין העדים לחתום, אבל אינו גובה עד שיביא ראיה. ר' או' או' אני שלא יחתומו עד שיטלו רשות מבית דין, וכשהוא גובה, אין צריך שיביא ראיה. הניח בנים קטנים וגדולים, והיו קטנים ניזונין ובאין בשתיקה, לא יאמרו קטנים הרי אנו ניזונין כדרך שניזונתם אתם. נשאו גדולים בחיי אביהן, לא יאמרו קטנים הרי אנו נושאין כדרך שנשאתם אתם, ולא עוד אלא אפלו הניח להן עבדים ושפחות, כלי כסף וכלי זהב, הרי אילו של עצמן.",000300330008001800000000,NULL,NULL,NULL,NULL,NULL,NULL,Tosefta Bava Batra 8:18,000300330008001800000000,
,,Hebrew,3,33,8,19,,n,"הניח בנות גדולות וקטנות, והיו גדולות ניזונות ובאות בשתיקה, [לא יאמרו קטנות הרי אנו נזונות כדרך שנזנתם אתם. נישאו גדולות בחיי אביהן], לא יאמרו קטנות הרי אנו נושאות כדרך שנשאתם אתם, ולא עוד אלא אפי' הניח להן אביהן עבדים ושפחות, כלי כסף וכלי זהב, הרי אילו של עצמן.",000300330008001900000000,NULL,NULL,NULL,NULL,NULL,NULL,Tosefta Bava Batra 8:19,000300330008001900000000,
,Sifre Numbers,Hebrew,9,132,,,,n,"לאלה תחלק הארץ בנחלה במספר שמות. הכל במשמע: ישראל כהנים ולוים גרים נשים ועבדים וטומטום ואנדרוגינוס במשמע. (במדבר י״ח:כ׳) ויאמר ה' אל אהרן בארצם לא תנחל – יצאו כהנים. ובתוך בני ישראל לא ינחלו נחלה – יצאו לוים. לשמות מטות אבותם תתנחלו – יצאו גרים ועבדים. איש לפי פקודיו – יצאו נשים וטומטום ואנדרוגינוס. רבי יאשיה אומר: ליוצאי מצרים נתחלקה הארץ, שנאמר לשמות מטות אבותם תתנחלו. מה ת""ל לאלה תחלק הארץ? – מפני קטנים. ר' יונתן אומר: לבאי הארץ נתחלקה הארץ, שנאמר לאלה תחלק הארץ. ומה ת""ל לשמות מטות אבותם? שינה המקום נחלה זו מכל נחלות שבתורה; שבכל נחלות שבתורה – חיים יורשים את המתים, וכאן מתים יורשים את החיים! רבי אומר: משל למה הדבר דומה? לב' אחים כהנים שהיו בעיר, לזה בן אחד ולזה ג' בנים. יצאו לגורן, זה נטל סאה ואלו נטלו ג' סאים, והורישו את אבותיהם – וחזרו וחלקו בשוה; וירשו מתים את החיים – וחזרו וחלקו בשוה. ר' שמעון בן אלעזר אומר: זה נטל חלקו וחלק אביו, וזה נטל חלקו וחלק אביו! נמצאת מקיים לאלה תחלק הארץ בנחלה, ונמצאת מקיים לשמות מטות אבותם תתנחלו: לרב תרבו נחלתו ולמעט תמעיט נחלתו – הרי שהיו לו בשעת יציאת מצרים ה' בנים, ובכניסתו לארץ י'; קורא אני למעט תמעיט נחלתו. הרי שיצאו עמו י' בנים ממצרים, ובכניסתם לארץ נמצאו ה'; קוראני עליהם לרב תרבו נחלתו: איש. יצאו עבדים ונשים וטומטום ואנדרוגינוס: לפי פקודיו. מלמד שלא נתחלקה ארץ ישראל אלא לכל שבט ושבט לפי מה שהוא, וכן הוא אומר (יהושע יז) וידברו בני יוסף את יהושע, ואומר אני עם רב אשר עד כה ברכני ה', ואומר ויאמר להם יהושע אם עם רב אתם עלה לך היערה ובראת לך שם בארץ הפריזי והרפאים כי אץ לך הר אפרים: יותן נחלתו – שומע אני מעורבבים? ת""ל בגורל. אי בגורל, יכול שומע אני בינו לבין עצמו? ת""ל על פי נחלתו. שומע אני בינו לבין עצמו? ת""ל (יהושע יט) על פי ה'. מגיד שלא נתחלקה ארץ ישראל אלא ברוח הקודש: אך. יצאו כלב ויהושע. וכן הוא אומר (שופטים א) ויתנו לכלב את חברון כאשר דבר משה, ואומר (יהושע יט) ויתנו בני ישראל נחלתם ליהושע בן נון בתוכם על פי ה' נתנו לו את עיר אשר שאל את תמנת סרח: לשמות מטות אבותם – יצאו גרים ועבדים על פי הגורל תחלק – מגיד שלא נתחלקה ארץ ישראל אלא בשמיון. בית כור כנגד בית סאה, ובית סאה כנגד בית כור:",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,000901320000000000000000,x
,,Hebrew,9,133,,,,n,"ותקרבנה בנות צלפחד – כיון ששמעו בנות צלפחד שהארץ מתחלקת לשבטים ולא לנקבות, נתקבצו כולן זו על זו ליטול עצה. אמרו: לא כרחמי ב""ו רחמי המקום! ב""ו רחמיו על הזכרים יותר מן הנקבות, אבל מי שאמר והיה העולם אינו כן, אלא על הזכרים ועל הנקבות, רחמיו על הכל, שנאמר (תהלים קמה) טוב ה' לכל ורחמיו על כל מעשיו: בן חפר בן גלעד בן מכיר בן מנשה – מגיד הכתוב שכשם שהיה צלפחד בכור – כך היו כולן בכורות; וללמדך שהיו זכאות בנות זכאי. וכל מי שמעשיו סתומים מעשה אבותיו סתומים, והכתוב מייחסו לשבח – הרי זה צדיק בן צדיק; וכל מי שמעשיו סתומים ומעשה אבותיו סתומים, והכתוב מייחסו לגנאי – הרי זה רשע בן רשע. ר' נתן אומר: בא הכתוב ללמדך שכל צדיק וצדיק שגדל בחיק רשע ולא עשה כמעשיו – להודיע כמה צדיק גדול, שגדל בחיק רשע ולא עשה כמעשיו. וכל רשע שגדל בחיק צדיק ולא עשה כמעשיו – להודיע כמה רשע גדול, שגדל בחיק צדיק ולא עשה כמעשיו. עשו גדל בין ב' צדיקים, בין יצחק ובין רבקה – ולא עשה כמעשיהם: עובדיה גדל בין ב' רשעים, בין אחאב ואיזבל – ולא עשה כמעשיהם, ונתנבא על עשו שגדל בין ב' צדיקים – בין יצחק לרבקה ולא עשה כמעשיהם; שנאמר (עובדיה א) חזון עובדיה כה אמר ה' אלהים לאדום: ולמשפחות מנשה בן יוסף – כשם שחיבב יוסף את ארץ ישראל כך חיבבו בנות צלפחד. ואלה בנות צלפחד מחלה נועה חגלה ומלכה ותרצה – או כל הקודם במקרא קודם במעשה? תלמוד לומר (במדבר לו) ותהיינה מחלה תרצה חגלה ומלכה ונועה בנות צלפחד מלמד שכולם שקולות, זו כזו: ותעמודנה לפני משה – מגיד הכתוב שלא עמדו אלא בשנת הארבעים, בשנה שמת בה אהרן שנאמר (במדבר ל״ג:ל״ח) ויעל אהרן הכהן אל הר ההר על פי ה' וימת שם בשנת הארבעים: לפני משה ולפני אלעזר הכהן – אם משה לא היה יודע, אלעזר היה יודע? אלא סרס המקרא ודרשהו, דברי ר' יאשיה. אבא חנין אומר משום ר' אליעזר: בבית המדרש היו ובאו ועמדו לפניהם: אבינו מת במדבר – ר' עקיבא אומר: נאמר כאן מדבר ונאמר להלן (במדבר טו) מדבר. מה מדבר האמור להלן צלפחד, אף מדבר האמור כאן צלפחד: והוא לא היה בתוך העדה – זו עדת מלינים: הנועדים על ה' – זו עדת מרגלים: בעדת קרח – זו עדה של קרח: כי בחטאו מת – שלא החטיא את אחרים עמו: ובנים לא היו לו – שאם היתה לו בן לא היינו תובעות: למה יגרע שם אבינו מתוך משפחתו – ר' יהודה אומר: נאמר כאן שם ונאמר להלן (דברים כה) שם. מה שם האמור להלן נחלה, אף שם האמור כאן נחלה. ומה שם האמור להלן זרע, אף שם האמור כאן זרע: כי אין לו בן – למה נאמר? והלא כבר נאמר ובנים לא היו לו! מה ת""ל כי אין לו בן? שהיו חכמות ודורשות: הא אם היה לו בן לא היינו תובעות: תנה לנו אחוזה בתוך אחי אבינו – ר' נתן אומר יפה כח נשים מכח אנשים: אנשים אומרים (במדבר י״ד:ד׳) נתנה ראש ונשובה מצרימה, ונשים אומרות תנה לנו אחוזה בתוך אחי אבינו: ויקרב משה את משפטן לפני ה' – א""ר חידקא: שמעון השקמוני היה לי חבר, מתלמידי ר' עקיבא ואמר: יודע היה משה שהבנות נוחלות. על מה נחלקו? אם ירשו בראוי כבמוחזק ואם לאו. ראויה היתה פרשת נחלות שתאמר על ידי משה, אלא שזכו בנות צלפחד שנאמרה על ידן. לכך מגלגלים זכות על ידי זכאי וחובה על ידי חייב",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,000901330000000000000000,x
,Sifre Deuteronomy,Hebrew,11,215,,,,n,"כי תהיין לאיש שתי נשים, שיש בהם הויה יצאו שפחה ונכרית שאין בהם הויה משמע מוציא את אלו ומוציא את היבמה ומוציא את הארוסה שאין להן הויה [תלמוד לומר שתי נשים]. רבי ישמעאל אומר בדרך ארץ הכתוב מדבר מגיד שסופו להיות שונא אותה ואוהב אחרת. וילדו לו בנים, להוציא את הספק בן תשעה לראשון בן שבעה לאחרון אין לי אלא היוצא ממקום הלידה יוצא דופן מנין תלמוד לומר וילדו לו מכל מקום. דבר אחר כי תהיין לאיש שתי נשים, אין לי אלא שהן שתים מנין אפילו הן מרובות תלמוד לומר נשים אין לי אלא בזמן שהן מרובות ומקצתן אהובות ומקצתן שנואות מנין אפילו כולן אהובות כולן שנואות תלמוד לומר אהובה האהובה, שנואה השנואה, ריבה הכתוב אין לי אלא בזמן שהן מרובות וכולן אהובות או כולן שנואות מנין אפילו הן שתים תלמוד לומר שתי נשים אין לי אלא בזמן שהן שתי נשים אחת אהובה ואחת שנואה מנין אפילו אחת והיא אהובה אפילו אחת והיא שנואה תלמוד לומר אהובה אהובה שנואה שנואה ריבה הכתוב, איזו היא אהובה אהובה לפני המקום שנואה שנואה לפני המקום יכול אין לי אלא אנוסה ומפותה שאינן לו כדרך כל הנשים מנין אלמנה לכהן גדול גרושה וחלוצה לכהן הדיוט תלמוד לומר שנואה שנואה ריבה את העריות שהן בלא תעשה ועדין לא ארבה את העריות שחייבין עליהן כרת בידי שמים תלמוד לומר שנואה שנואה ריבה את העריות שחייבים עליהן כרת בידי שמים ועדין לא ארבה את העריות שחייבים עליהן מיתת בית דין תלמוד לומר שנואה שנואה ריבה יכול אפילו שפחה אפילו נכרית תלמוד לומר כי תהיין לאיש מי שיש לו בהן הויה יצאו אלו שאין בהן הויה וילדו לו בנים, מי שהולדות שלו יצאו אלו שאין הולדות שלו. דבר אחר וילדו לו בנים, הבנים בתורה הזאת ואין הבנות בתורה הזאת, לפי שמצינו שהבנות נכנסות לנחלה תחת האחים לחלוק בשוה יכול תהא בכורה נוהגת בהן תלמוד לומר וילדו לו בנים, הבנים בתורה הזאת ואין הבנות בתורה הזאת. והיה הבן, ולא טומטום ואנדרוגינוס. הבכור, ולא הספק. לשניאה, הכתוב מבשרך שבן הבכור לשניאה",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,001102150000000000000000,x
