Group,Name,Language,SourceID,Level1 Id,Level2 Id,Level3 Id,Level4 Id,Analyzed [y/n],Text,ref Code,KW Ids,Keywords,Judicial Topic Ids,Juditial Topics,Index Ids,Index Terms,,Refference,
,,Hebrew,3,33,7,16,,y,"כתב ירושה מלמטה ומתנה מלמעלה, ירושה מלמעלה ומתנה מלמטה, ירושה מכן ומכן ומתנה באמצע, הואיל והזכיר שום מתנה, דבריו קיימין.",000300330007001600000000,"224, 229, 327, 328","firstborn, deathbed statement, Testamentary Language, Gift vs. Inheritance","37, 38","Deeds of Gift as Wills, Legacies","64, 571, 578","ירושה, מתנה, פי שנים",Tosefta Bava Batra 7:16,000300330007001600000000,
,,Hebrew,3,33,7,17,,n,"ר' יוחנן בן ברוקה אומ' אם אמ' על מי שראוי לו ליורשו, דבריו קיימין, על מי שאינו ראוי לו ליורשו, אין דבריו קיימין. כיצד, אמ' על בת הבן בין הבנים ועל בן הבת בין הבנות, דבריו קיימין. על הבת בין הבנים ועל האח בין הבנות, לא אמ' כלום.",000300330007001700000000,327,Testamentary Language,"36, 37","Forms of Will, Deeds of Gift as Wills","64, 571","ירושה, מתנה",Tosefta Bava Batra 7:17,000300330007001700000000,
,,Hebrew,3,33,8,1,,n,"הכותב נכסיו לאחד, והיה כהן, והיו בהן עבדים, אע""פ שאמ' הלה אי איפשי בהן, הרי אילו אוכלין בתרומה. רבן שמעון בן גמליאל אומ' כיון שאמ' הלה אי איפשי בהן, זכו בהן היורשין.",000300330008000100000000,"339, 340, 343","slaves status, property transfer, refusal of inheritence","35, 37","Accaptance of will, Deeds of Gift as Wills","217, 220, 580, 818","אכילה בתרומה, הכותב נכסיו, אי אפשי, עבדים",Tosefta Bava Batra 8:1,000300330008000100000000,
,,Hebrew,3,33,8,2,,n,"הכותב נכסיו לעשרה, בין שזכה אחד מהן ובין שזכו כולן, זכו כולן. כתב והעלה להן בערכים, זכת להן הערכיים.",000300330008000200000000,NULL,NULL,NULL,NULL,NULL,NULL,Tosefta Bava Batra 8:2,000300330008000200000000,
,,Hebrew,3,33,8,3,,n,"המוציא עשרה עבדים בני חורין, בין שיצא אחד מהן ובין שיצאו כולן, יצאו כולן. כתב והעלה להן בערכיים, זכת להן הערכיים.",000300330008000300000000,NULL,NULL,NULL,NULL,NULL,NULL,Tosefta Bava Batra 8:3,000300330008000300000000,
,,Hebrew,3,33,8,4,,n,"האומ' תנו נכסיי לפל', ואם מת פל' לפל', ואם [מת] פל' לפלני, הראשון אוכל פירות, ואם מת ינתנו לשיני, [השיני אוכל פירות. ואם מת, ינתנו לשלישי]. מת השיני עד שלא ימות הראשון, הראשון אוכל פירות. [מת, ינתנו לשלישי. מת שלישי עד שלא ימות השיני, השיני אוכל פירות], ואם מת, יחזרו ליורשי הנותן. הראשון מוכר קרקע ואוכל פירות דברי ר', רבן שמעון בן גמליאל או' אין לראשון אלא אכילת פירות בלבד.",000300330008000400000000,NULL,NULL,NULL,NULL,NULL,NULL,Tosefta Bava Batra 8:4,000300330008000400000000,
,,Hebrew,3,33,8,5,,y,"שנים שהיו באין ממדינת הים, אע""פ שמשאן ומתנן ומאכלן ומשקן כאחת, ומת אחד מהן, אין חבירו יורשו, ואם היה נוהג בו משום אחוה, חבירו יורשו.",000300330008000500000000,"9, 66","patria potestas, brother",30,Classes of Heirs,"73, 193","אחים שותפים, מדינת הים",Tosefta Bava Batra 8:5,000300330008000500000000,
,,Hebrew,3,33,8,6,,n,"מי שיצא הוא ובנו למדינת הים, ובא עמו אח ואמ' זה אחי שניתן לי במדינת הים, ולו חמשה אחין ולפניהן בית חמשת כורין, הן אין נותנין לו כלום, והוא נותן להן שתות בחלקו. מת הוא, נוטל מה שנתן, והשאר מביאין לאמצע וחולקין.",000300330008000600000000,NULL,NULL,NULL,NULL,NULL,NULL,Tosefta Bava Batra 8:6,000300330008000600000000,
,,Hebrew,3,33,8,7,,n,"מי שיצא הוא ואביו למדינת הים, ומת הבן, או שמת האב, לעולם נכסיו בחזקת זקן.",000300330008000700000000,NULL,NULL,NULL,NULL,NULL,NULL,Tosefta Bava Batra 8:7,000300330008000700000000,
,,Hebrew,3,33,8,8,,n,"הכותב דייתיקי, והיה מתיירא מן היורשין, נכנסין אצלו כמבקרין אותו, שומעין דבריו מלפנים, ויוצאין וכותבין מבחוץ.",000300330008000800000000,NULL,NULL,NULL,NULL,NULL,NULL,Tosefta Bava Batra 8:8,000300330008000800000000,
,,Hebrew,3,33,8,9,,y,"בריא שכתב דייתיקי, שכיב מרע שכתב נכסיו מתנה, אע""פ שזיכה לאחר מתנה, לא עשה כלום. אבל הכותב בשם חבירו וזיכה לאחר מתנה, דבריו קיימין.",000300330008000900000000,144,testament formula,"34, 37","Capacity, Deeds of Gift as Wills","67, 77, 84, 571, 739","דיתיקי, שכיב מרע, בריא, מתנה, διαθήκη",Tosefta Bava Batra 8:9,000300330008000900000000,
